date,sleep_start_time,wake_time,age,age_band,sleep_duration_hours,total_sleep_minutes,sleep_period_hours,sleep_efficiency,deep_minutes,light_minutes,rem_minutes,waso_minutes,deep_ratio,rem_ratio,light_ratio,awake_ratio,avg_heart_rate,resting_heart_rate,avg_stress_score,movement_sample_minutes,movement_level_mean,movement_level_max,movement_active_minutes,total_steps
2026-05-29,2026-05-29T04:53:00+08:00,2026-05-29T09:08:00+08:00,22,young_adult,3.48,209,4.25,81.96,10,175,24,46,0.0478,0.1148,0.8373,0.1804,71.17,58,11.39,375,2.339,7.639,292,8321
2026-05-30,2026-05-30T01:10:00+08:00,2026-05-30T11:40:00+08:00,22,young_adult,10.3,618,10.5,98.1,67,360,191,12,0.1084,0.3091,0.5825,0.019,56.75,54,1.58,750,1.064,5.723,246,134
2026-05-31,2026-05-31T03:14:00+08:00,2026-05-31T09:46:00+08:00,22,young_adult,6.38,383,6.53,97.7,62,242,79,9,0.1619,0.2063,0.6319,0.023,55.32,54,2.49,512,1.165,6.281,190,475
2026-06-01,2026-06-01T01:05:00+08:00,2026-06-01T12:06:00+08:00,22,young_adult,10.92,655,11.02,99.09,302,353,0,6,0.4611,0.0,0.5389,0.0091,54.24,51,4.66,841,0.72,5.916,205,148
2026-06-03,2026-06-03T01:43:00+08:00,2026-06-03T08:35:00+08:00,22,young_adult,6.85,411,6.87,99.76,80,232,99,1,0.1946,0.2409,0.5645,0.0024,51.95,51,2.4,532,0.841,7.1,110,153
2026-06-04,2026-06-04T02:56:00+08:00,2026-06-04T08:46:00+08:00,22,young_adult,5.78,347,5.83,99.14,65,216,66,3,0.1873,0.1902,0.6225,0.0086,55.16,51,8.33,473,1.351,6.195,165,437
2026-06-05,2026-06-05T00:57:00+08:00,2026-06-05T10:11:00+08:00,22,young_adult,9.22,553,9.23,99.82,23,371,159,1,0.0416,0.2875,0.6709,0.0018,60.99,52,23.5,671,0.808,5.739,205,87
2026-06-06,2026-06-06T05:09:00+08:00,2026-06-06T11:22:00+08:00,22,young_adult,6.22,373,6.22,100.0,68,221,84,0,0.1823,0.2252,0.5925,0.0,58.81,57,11.12,493,0.693,6.579,74,707
2026-06-07,2026-06-07T03:34:00+08:00,2026-06-07T11:44:00+08:00,22,young_adult,7.77,466,8.17,95.1,43,260,163,24,0.0923,0.3498,0.5579,0.049,56.19,56,6.27,610,0.84,5.816,150,163
2026-06-08,2026-06-08T02:20:00+08:00,2026-06-08T11:57:00+08:00,22,young_adult,9.43,566,9.62,98.09,50,358,158,11,0.0883,0.2792,0.6325,0.0191,58.55,54,9.99,697,0.96,5.518,247,1175
2026-06-09,2026-06-09T01:44:00+08:00,2026-06-09T12:11:00+08:00,22,young_adult,10.23,614,10.45,97.93,240,374,0,13,0.3909,0.0,0.6091,0.0207,56.47,52,5.91,747,0.923,5.835,252,125
2026-06-10,2026-06-10T02:33:00+08:00,2026-06-10T09:54:00+08:00,22,young_adult,7.23,434,7.35,98.41,80,260,94,7,0.1843,0.2166,0.5991,0.0159,56.09,57,3.83,561,1.083,5.519,215,179
2026-06-11,2026-06-11T02:58:00+08:00,2026-06-11T11:04:00+08:00,22,young_adult,7.92,475,8.1,97.74,48,329,98,11,0.1011,0.2063,0.6926,0.0226,57.74,50,11.31,606,1.107,5.746,259,195
2026-06-12,2026-06-12T02:51:00+08:00,2026-06-12T12:17:00+08:00,22,young_adult,9.2,552,9.43,97.53,60,346,146,14,0.1087,0.2645,0.6268,0.0247,54.48,52,5.11,686,1.056,5.987,244,196
2026-06-13,2026-06-13T01:53:00+08:00,2026-06-13T09:30:00+08:00,22,young_adult,7.55,453,7.62,99.12,84,237,132,4,0.1854,0.2914,0.5232,0.0088,59.89,52,13.54,577,1.092,6.065,219,399
2026-06-14,2026-06-14T03:14:00+08:00,2026-06-14T10:10:00+08:00,22,young_adult,6.42,385,6.93,92.55,18,251,116,31,0.0468,0.3013,0.6519,0.0745,52.88,52,3.29,536,1.284,7.143,222,356
2026-06-15,2026-06-15T04:14:00+08:00,2026-06-15T09:37:00+08:00,22,young_adult,5.38,323,5.38,100.0,71,191,61,0,0.2198,0.1889,0.5913,0.0,51.16,51,2.87,443,0.898,7.261,121,73
2026-06-17,2026-06-17T02:55:00+08:00,2026-06-17T12:42:00+08:00,22,young_adult,9.12,547,9.78,93.19,81,349,117,40,0.1481,0.2139,0.638,0.0681,54.53,51,5.61,707,0.73,5.521,157,33
2026-06-18,2026-06-18T03:49:00+08:00,2026-06-18T09:02:00+08:00,22,young_adult,5.2,312,5.22,99.68,56,180,76,1,0.1795,0.2436,0.5769,0.0032,59.63,53,13.24,433,1.298,6.277,151,270
2026-06-21,2026-06-21T03:03:00+08:00,2026-06-21T09:35:00+08:00,22,young_adult,6.53,392,6.53,100.0,77,226,89,0,0.1964,0.227,0.5765,0.0,54.73,55,3.49,572,0.949,5.608,165,115
2026-06-22,2026-06-21T23:59:00+08:00,2026-06-22T09:41:00+08:00,22,young_adult,9.67,580,9.7,99.66,341,239,0,2,0.5879,0.0,0.4121,0.0034,53.18,50,2.77,702,0.71,5.674,174,69
2026-06-23,2026-06-22T23:41:00+08:00,2026-06-23T08:57:00+08:00,22,young_adult,9.18,551,9.27,99.1,239,312,0,5,0.4338,0.0,0.5662,0.009,55.56,50,5.38,616,0.613,5.515,73,908
2026-06-24,2026-06-24T01:50:00+08:00,2026-06-24T12:14:00+08:00,22,young_adult,10.28,617,10.4,98.88,392,225,0,7,0.6353,0.0,0.3647,0.0112,54.86,52,46.0,744,0.832,6.083,169,536
2026-06-26,2026-06-26T02:07:00+08:00,2026-06-26T10:02:00+08:00,22,young_adult,7.78,467,7.92,98.32,79,238,150,8,0.1692,0.3212,0.5096,0.0168,56.98,54,6.21,595,1.165,5.699,270,892
2026-06-27,2026-06-27T02:48:08+08:00,2026-06-27T10:16:00+08:00,22,young_adult,11.47,688,7.46,100.0,290,398,0,1,0.4215,0.0,0.5785,0.0015,53.2,51,3.92,568,0.798,5.552,136,13
2026-06-28,2026-06-28T02:18:00+08:00,2026-06-28T08:47:00+08:00,22,young_adult,6.47,388,6.48,99.74,70,251,67,1,0.1804,0.1727,0.6469,0.0026,55.74,50,13.74,509,1.055,5.697,166,1574
2026-06-30,2026-06-30T01:56:00+08:00,2026-06-30T10:45:00+08:00,22,young_adult,8.82,529,8.82,100.0,93,331,105,0,0.1758,0.1985,0.6257,0.0,52.97,51,4.39,657,0.914,6.023,138,292
2026-07-01,2026-07-01T00:52:00+08:00,2026-07-01T09:19:00+08:00,22,young_adult,8.28,497,8.45,98.03,98,298,101,10,0.1972,0.2032,0.5996,0.0197,53.98,49,8.74,619,1.053,5.515,231,238
2026-07-02,2026-07-02T01:06:00+08:00,2026-07-02T09:52:00+08:00,22,young_adult,8.75,525,8.77,99.81,77,345,103,1,0.1467,0.1962,0.6571,0.0019,57.64,51,12.47,646,1.062,6.164,188,273
2026-07-06,2026-07-06T03:02:00+08:00,2026-07-06T10:25:00+08:00,22,young_adult,7.3,438,7.38,98.87,36,313,89,5,0.0822,0.2032,0.7146,0.0113,62.92,59,19.06,563,0.958,5.846,154,269
2026-07-07,2026-07-07T03:28:00+08:00,2026-07-07T12:14:00+08:00,22,young_adult,8.77,526,8.77,100.0,311,215,0,0,0.5913,0.0,0.4087,0.0,58.69,58,16.25,646,0.527,5.522,144,126
2026-07-09,2026-07-09T01:06:00+08:00,2026-07-09T10:24:00+08:00,22,young_adult,9.02,541,9.3,96.95,3,266,272,17,0.0055,0.5028,0.4917,0.0305,58.69,56,3.93,678,0.831,5.52,170,52
2026-07-11,2026-07-10T22:42:00+08:00,2026-07-11T07:51:00+08:00,22,young_adult,9.08,545,9.15,99.27,258,287,0,4,0.4734,0.0,0.5266,0.0073,57.36,52,3.87,609,0.769,7.42,105,521
2026-07-12,2026-07-12T02:39:00+08:00,2026-07-12T15:29:00+08:00,22,young_adult,12.75,765,12.83,99.35,298,467,0,5,0.3895,0.0,0.6105,0.0065,66.44,54,25.79,890,0.583,5.524,118,121
2026-07-17,2026-07-17T03:09:00+08:00,2026-07-17T09:55:00+08:00,22,young_adult,6.73,404,6.77,99.51,44,270,90,2,0.1089,0.2228,0.6683,0.0049,56.03,52,7.12,526,1.184,5.744,213,279
2026-07-19,2026-07-19T04:14:00+08:00,2026-07-19T15:21:00+08:00,22,young_adult,11.03,662,11.12,99.25,420,242,0,5,0.6344,0.0,0.3656,0.0075,54.31,51,3.6,787,0.601,5.515,146,86
2026-07-20,2026-07-20T04:20:00+08:00,2026-07-20T11:45:00+08:00,22,young_adult,6.85,411,7.42,92.36,84,220,107,34,0.2044,0.2603,0.5353,0.0764,53.73,51,3.99,565,1.117,5.681,255,47
