date,sleep_start_time,wake_time,light_count,deep_count,rem_count,awake_count,movement_count,steps_total,avg_heart_rate,min_heart_rate,max_heart_rate,avg_stress_score,resting_heart_rate
2026-05-28,,,0,0,0,0,0,1860,85.76,62.0,119.0,26.94,
2026-05-29,2026-05-29T04:53:00+08:00,2026-05-29T09:08:00+08:00,1,1,2,1,375,6530,71.17,48.0,140.0,11.39,58
2026-05-30,2026-05-30T01:10:00+08:00,2026-05-30T11:40:00+08:00,2,1,1,1,750,278,56.75,46.0,98.0,1.58,54
2026-05-31,2026-05-31T03:14:00+08:00,2026-05-31T09:46:00+08:00,2,1,1,1,512,293,55.32,44.0,102.0,2.49,54
2026-06-01,2026-06-01T01:05:00+08:00,2026-06-01T12:06:00+08:00,1,2,1,1,841,157,54.24,44.0,102.0,4.66,51
2026-06-02,2026-06-02T00:00:00+08:00,2026-06-02T00:00:00+08:00,1,2,1,1,60,2663,62.26,45.0,123.0,8.85,50
2026-06-03,2026-06-03T01:43:00+08:00,2026-06-03T08:35:00+08:00,2,1,1,1,532,135,51.95,45.0,87.0,2.4,51
2026-06-04,2026-06-04T02:56:00+08:00,2026-06-04T08:46:00+08:00,2,1,1,1,473,302,55.16,45.0,111.0,8.33,51
2026-06-05,2026-06-05T00:57:00+08:00,2026-06-05T10:11:00+08:00,1,1,2,1,671,771,60.99,45.0,113.0,23.5,52
2026-06-06,2026-06-06T05:09:00+08:00,2026-06-06T11:22:00+08:00,1,1,2,1,493,186,58.81,49.0,110.0,11.12,57
2026-06-07,2026-06-07T03:34:00+08:00,2026-06-07T11:44:00+08:00,2,1,1,1,610,45,56.19,48.0,103.0,6.27,56
2026-06-08,2026-06-08T02:20:00+08:00,2026-06-08T11:57:00+08:00,1,1,2,1,697,1255,58.55,48.0,105.0,9.99,54
2026-06-09,2026-06-09T01:44:00+08:00,2026-06-09T12:11:00+08:00,1,2,1,1,747,67,56.47,49.0,94.0,5.91,52
2026-06-10,2026-06-10T02:33:00+08:00,2026-06-10T09:54:00+08:00,2,1,1,1,561,202,56.09,45.0,110.0,3.83,57
2026-06-11,2026-06-11T02:58:00+08:00,2026-06-11T11:04:00+08:00,2,1,1,1,575,17,52.2,45.0,74.0,3.19,50
